,0
Discount,0.17022800080049927
discount_bucket,0.13304737160315133
Sub-Category,0.04889477082918614
Category,0.01742132377297967
is_discounted,0.011449967171258336
price_per_unit,0.010186772534988309
log_sales,0.0020880642248763846
Sales,0.0018805582638684703
Region,0.001332710774403767
Quantity,0.00072734368770756
cust_prior_loss_rate,0.00039908131789496705
dow_cos,0.0003960241311818935
month_cos,0.00028213782718923276
cust_prior_sales_mean,0.00020514364292513189
order_dayofyear,0.0001697406636428922
order_week,0.00016641683338611824
order_quarter,8.300383415559276e-05
cust_prior_sales_sum,7.27532225483607e-05
month_sin,5.578740852381081e-05
order_is_month_end,2.1382405581982234e-05
cust_is_first_order,2.5824618271719222e-06
order_year,0.0
order_is_quarter_end,-9.914101251062846e-09
order_month,-4.900970047074793e-05
order_is_weekend,-6.742656123318592e-05
order_dayofweek,-8.544114708262108e-05
cust_prior_lines,-0.00011472887134365007
Segment,-0.00011730023034519643
Ship Mode,-0.000155243845197528
ship_days,-0.00026940788034870435
cust_days_since_first,-0.0003555304758552036
dow_sin,-0.000382873906478931
