,0
Discount,35.58118754431064
Sales,33.223428877761854
log_sales,31.7311773676446
Sub-Category,7.101885675555765
Category,2.9049769930220646
price_per_unit,2.498358683254386
discount_bucket,1.51366968680904
is_discounted,0.38545268054503123
Quantity,0.07512566258783729
Region,0.06348287211539053
cust_prior_lines,0.04900003768243266
ship_days,0.0318716937813015
dow_cos,0.021022706377716815
Ship Mode,0.020014601593748082
order_dayofweek,0.005590323310832801
cust_prior_sales_mean,0.0025973534770425744
order_dayofyear,0.0024384556557905056
cust_is_first_order,0.00016853436479671302
order_is_month_end,0.0001292406168911242
order_is_quarter_end,2.270347629007574e-06
order_year,-3.552713678800501e-16
order_week,-0.003992254144980123
order_is_weekend,-0.007192126976979196
order_quarter,-0.010507910204478322
order_month,-0.01140505443438613
cust_prior_loss_rate,-0.015029380070728493
month_cos,-0.01968944277261144
cust_prior_sales_sum,-0.027318424711269884
cust_days_since_first,-0.028455567803944603
Segment,-0.03182756566102043
dow_sin,-0.04109760399206479
month_sin,-0.04804479291868304
